Ticker,Avg Abs Change (%),Avg Net Change (%),Std Dev Change (%),Earnings Count
WYNN,3.1308333333333334,-0.1525,3.691735548984565,12
NOC,3.1276923076923073,-1.7523076923076923,3.611941199793988,13
DGX,3.126666666666667,2.02,3.226532053290202,12
COF,3.1216666666666666,2.02,3.7217786559165984,12
CHD,3.1208333333333336,0.15249999999999994,4.312445256569536,12
CCI,3.0858333333333334,0.6941666666666667,3.907132076166105,12
LMT,3.0683333333333334,-1.0683333333333331,4.00939313778698,12
LYV,3.0625,1.9775,3.1184965054566685,12
NEM,3.0583333333333336,-0.38833333333333336,3.637928564777522,12
AMGN,3.0566666666666666,1.2466666666666668,4.363606376159588,12
JKHY,3.0399999999999996,0.18500000000000005,4.471516927885171,12
MRK,3.0399999999999996,-1.8283333333333331,3.752891814280951,12
DOV,3.029166666666667,0.8791666666666668,3.4630371807347835,12
STT,3.025,-0.48666666666666675,3.7972246643456784,12
GD,3.022727272727273,0.6627272727272727,3.7483572159256404,11
AOS,2.99,-0.5516666666666666,3.7495256265616357,12
ABBV,2.9766666666666666,0.18500000000000014,3.849215976840431,12
MDT,2.9691666666666667,-0.29083333333333333,3.5071601003799313,12
CSX,2.965,0.9533333333333335,3.365683324738714,12
ALB,2.9499999999999997,1.625,3.3823512531965094,12
AFL,2.9425000000000003,-0.10916666666666675,4.0552445466745075,12
PSKY,2.9425,1.5925,3.6851356827123745,4
VRTX,2.9266666666666663,-1.9749999999999999,4.407294573153178,12
CF,2.924166666666667,0.030833333333333268,3.64517728296477,12
RF,2.92,-0.09333333333333327,4.525618658528825,12
IVZ,2.9181818181818184,0.4799999999999999,3.8852773388781396,11
CBRE,2.908333333333333,1.5199999999999998,3.4533567332774537,12
BG,2.9075,-1.2258333333333333,3.5103003195358276,12
KLAC,2.903333333333333,-1.2749999999999997,3.693755172277566,12
MOS,2.891666666666667,-0.8833333333333334,4.073824054158749,12
BMY,2.8808333333333334,-0.5474999999999999,3.4618784312461455,12
STLD,2.8775,0.5975,3.4368672971445693,12
PFG,2.875,0.7066666666666667,3.25919491825075,12
NSC,2.866153846153846,0.7923076923076924,3.7960443311561267,13
PAYX,2.8625000000000003,-0.28250000000000003,3.609699370509204,12
NWS,2.8425,2.0258333333333334,3.122896261582517,12
TJX,2.841666666666667,1.86,3.093879588654172,12
AAPL,2.8383333333333334,0.27666666666666667,3.516207495514898,12
MS,2.830833333333333,0.10750000000000008,3.352082459931709,12
CEG,2.7975,0.02916666666666666,3.9195928785185505,12
EXR,2.7866666666666666,-0.25333333333333335,3.756425605989467,12
SCHW,2.778333333333333,-0.15999999999999995,3.8026234962911403,12
HIG,2.7776923076923077,-0.7376923076923076,3.4229766623173505,13
ORLY,2.769090909090909,-1.2381818181818183,3.429786635293275,11
WM,2.7363636363636363,-0.5454545454545454,3.6507187337190565,11
HST,2.723333333333333,0.26333333333333325,3.502179408034461,12
PGR,2.7146153846153847,-0.04076923076923075,3.8272497992215015,13
MRSH,2.705,0.1766666666666666,3.2061739683229162,12
SOLV,2.687777777777778,0.2522222222222221,3.0794592779324823,9
SHW,2.6827272727272726,0.9772727272727273,3.249975664244552,11
BALL,2.6824999999999997,0.9758333333333332,3.2815640903063095,12
MO,2.6808333333333336,-0.44416666666666665,3.5373910733845366,12
PG,2.674166666666667,1.0091666666666665,2.976973625965969,12
GILD,2.6441666666666666,0.1475000000000001,3.174157368499552,12
BA,2.638181818181818,2.0436363636363635,2.6035102178684557,11
ADM,2.6345454545454547,-1.507272727272727,3.5968071700025592,11
WRB,2.6149999999999998,1.7216666666666667,3.1124408233391163,12
ADP,2.5863636363636364,-0.09727272727272722,2.9950896177212822,11
LOW,2.5716666666666668,0.18333333333333335,3.0645163739260073,12
NUE,2.5663636363636364,-1.3754545454545453,3.2577948481645174,11
MDLZ,2.5658333333333334,0.20083333333333334,2.9677860077638325,12
BKR,2.5654545454545454,0.5945454545454546,2.9068208188203264,11
STZ,2.544166666666667,0.37749999999999995,3.275099235137769,12
PPG,2.537272727272727,-0.3936363636363636,3.3749348815266718,11
TRMB,2.486666666666667,-0.13833333333333334,3.1563207387812486,12
OXY,2.4858333333333333,0.7641666666666667,3.085177049091741,12
